BR_ID,Business_Requirement,FR_ID,Functional_Requirement,US_ID,User_Story,TestCase_ID,Test_Case_Description,Status
BR-ORG-001,Quản lý cấu trúc doanh nghiệp và không gian làm việc (Tenancy),FR-ORG-001.1,Tạo Organization & Workspace,US-ORG-001.1,Là người dùng mới đăng ký, tôi muốn hệ thống tự động tạo 1 Organization và 1 Workspace mặc định để bắt đầu làm việc ngay.,TC-ORG-001.1a,Đăng ký user mới và kiểm tra CSDL có tự tạo Org/Workspace/Membership với role Admin không.,Not Started
BR-ORG-001,Quản lý cấu trúc doanh nghiệp và không gian làm việc (Tenancy),FR-ORG-001.2,Quản lý Cấu hình Workspace,US-ORG-001.2,Là Workspace Admin, tôi muốn thay đổi tên và múi giờ của Workspace để phù hợp với văn phòng địa phương.,TC-ORG-001.2a,Đăng nhập bằng Admin, đổi múi giờ và lưu. Kiểm tra API trả về cấu hình mới.,Not Started
BR-ORG-001,Quản lý cấu trúc doanh nghiệp và không gian làm việc (Tenancy),FR-ORG-001.3,Subscription & Billing,US-ORG-001.3,Là Chủ doanh nghiệp, tôi muốn thanh toán bằng thẻ tín dụng để nâng cấp từ Free lên Pro.,TC-ORG-001.3a,Mock Stripe Payment Token và gọi API nâng cấp gói. Kiểm tra trạng thái DB chuyển sang PRO.,Not Started
BR-ORG-001,Quản lý cấu trúc doanh nghiệp và không gian làm việc (Tenancy),FR-ORG-001.4,Multi-Workspace Switcher,US-ORG-001.4,Là nhân viên thuộc nhiều chi nhánh, tôi muốn dễ dàng chuyển đổi không gian làm việc qua Menu.,TC-ORG-001.4a,Click chuyển Workspace trên UI, kiểm tra JWT mới có `workspace_id` cập nhật tương ứng.,Not Started
BR-ORG-001,Quản lý cấu trúc doanh nghiệp và không gian làm việc (Tenancy),FR-ORG-001.5,Audit Log (Cấp độ Org),US-ORG-001.5,Là Chủ doanh nghiệp, tôi muốn xem lịch sử các hành động quan trọng để chống rò rỉ dữ liệu.,TC-ORG-001.5a,Kích hoạt vô hiệu hóa user, kiểm tra bảng Audit Logs có ghi nhận log IMMUTABLE không.,Not Started
BR-ORG-002,Quản lý Danh tính và Phân quyền (IAM & SSO),FR-ORG-002.1,Mời thành viên (Invite Members),US-ORG-002.1,Là Admin, tôi muốn nhập email để mời nhân sự vào Workspace với quyền Member.,TC-ORG-002.1a,Gửi invite API. Đảm bảo user nhận được email kèm JWT link hợp lệ trong 48h.,Not Started
BR-ORG-002,Quản lý Danh tính và Phân quyền (IAM & SSO),FR-ORG-002.2,Quản lý Directory (Deactivate),US-ORG-002.2,Là Admin, tôi muốn vô hiệu hóa tài khoản nhân viên nghỉ việc chỉ bằng 1 nút bấm.,TC-ORG-002.2a,Bấm Deactivate user đang đăng nhập. User đó phải lập tức bị đá văng khỏi hệ thống (session revoked).,Not Started
BR-ORG-002,Quản lý Danh tính và Phân quyền (IAM & SSO),FR-ORG-002.3,Quản lý Nhóm (User Groups),US-ORG-002.3,Là Admin, tôi muốn tạo nhóm "Backend Team" để dễ gán việc.,TC-ORG-002.3a,Tạo nhóm và map 2 users vào nhóm. Verify database relations.,Not Started
BR-ORG-002,Quản lý Danh tính và Phân quyền (IAM & SSO),FR-ORG-002.4,Cấu hình SSO (SAML/OIDC),US-ORG-002.4,Là IT Admin, tôi muốn cấu hình Azure AD SAML để nhân viên đăng nhập một chạm.,TC-ORG-002.4a,Cấu hình SAML Metadata, giả lập ACS POST Assertion và kiểm tra API phát sinh JWT thành công.,Not Started
BR-ORG-002,Quản lý Danh tính và Phân quyền (IAM & SSO),FR-ORG-002.5,Khóa tài khoản tự động (Auto-Lock),US-ORG-002.5,Là hệ thống bảo mật, tôi muốn khóa tài khoản sau 5 lần nhập sai mật khẩu để chống Brute-force.,TC-ORG-002.5a,Gọi API Login sai mật khẩu 5 lần. Lần thứ 6 phải trả về lỗi HTTP 403 Locked (bị khóa 5 phút).,Not Started
BR-PRJ-000,Kiến trúc Kỹ thuật Nền tảng (NFRs),FR-PRJ-000.1,Phân quyền RBAC & Isolation,US-PRJ-000.1,Là hệ thống SaaS, tôi muốn phân tách dữ liệu tuyệt đối giữa các Workspace (Data Isolation).,TC-PRJ-000.1a,Dùng JWT của Workspace A gọi API lấy User list của Workspace B. Hệ thống phải chặn bằng HTTP 403.,Not Started
BR-PRJ-000,Kiến trúc Kỹ thuật Nền tảng (NFRs),FR-PRJ-000.2,WebSocket & OCC Sync,US-PRJ-000.2,Là người dùng đồng thời, tôi muốn không bị ghi đè dữ liệu nếu thao tác cũ hơn bản server.,TC-PRJ-000.2a,Giả lập gửi API cập nhật với `version` cũ (1) trong khi DB đã có (2). Hệ thống phải trả về HTTP 412 OCC Conflict.,Not Started
