BR_ID,Business_Requirement,FR_ID,Functional_Requirement,Priority,US_ID,User_Story,TestCase_ID,Test_Case_Description,Status
BL-PRJ-002.3,"Workflow Integrity",FR-PRJ-002.1,"Định nghĩa Workflow & Meta-Status Mapping",Must-have,US-PRJ-002.1,"Là PM, tôi muốn tạo Custom Status và map vào Meta-Status để chuẩn hóa báo cáo",TC-PRJ-002.1.1,"Verify tạo Status mới thành công và ánh xạ đúng 1 trong 6 Meta-Status",Not Started
BL-PRJ-002.3,"Workflow Integrity",FR-PRJ-002.1,"Định nghĩa Workflow & Meta-Status Mapping",Must-have,US-PRJ-002.1,"Là PM, tôi muốn tạo Custom Status và map vào Meta-Status để chuẩn hóa báo cáo",TC-PRJ-002.1.2,"Verify hệ thống từ chối xóa Status khi vẫn còn Task tồn tại bên trong (HTTP 400)",Not Started
BL-PRJ-002.4,"Handoff Notification",FR-PRJ-002.2,"Quy trình Giao việc & Chuyển giao",Must-have,US-PRJ-002.2,"Là User, tôi muốn hệ thống gợi ý gán Assignee mới khi chuyển Task sang trạng thái tiếp theo",TC-PRJ-002.2.1,"Verify popup chọn Assignee mới xuất hiện khi kéo thẻ sang cột khâu kế tiếp",Not Started
BL-PRJ-002.4,"Handoff Notification",FR-PRJ-002.2,"Quy trình Giao việc & Chuyển giao",Must-have,US-PRJ-002.2,"Là User, tôi muốn nhận thông báo khi được bàn giao Task mới",TC-PRJ-002.2.2,"Verify Assignee mới nhận thông báo WebSocket in-app và ghi nhận vào Task Activity Stream",Not Started
BL-PRJ-002.1,"WIP Block",FR-PRJ-002.3,"Cảnh báo giới hạn WIP (WIP Block)",Must-have,US-PRJ-002.3,"Là User, tôi muốn bị chặn khi kéo Task vào cột đã đạt trần WIP",TC-PRJ-002.3.1,"Verify Member kéo Task vào cột đạt max WIP bị từ chối, thẻ tự trượt về vị trí cũ kèm Toast đỏ",Not Started
BL-PRJ-002.2,"Override Privilege",FR-PRJ-002.4,"Vượt rào WIP (WIP Override)",Should-have,US-PRJ-002.4,"Là PM, tôi muốn có quyền xác nhận bỏ qua giới hạn WIP trong trường hợp khẩn cấp",TC-PRJ-002.4.1,"Verify PM kéo Task vào cột full WIP nhận được modal xác nhận và Override thành công",Not Started
BL-PRJ-002.2,"Override Privilege",FR-PRJ-002.4,"Vượt rào WIP (WIP Override)",Should-have,US-PRJ-002.4,"Là PM, tôi muốn có quyền xác nhận bỏ qua giới hạn WIP trong trường hợp khẩn cấp",TC-PRJ-002.4.2,"Verify Member cố gọi API Override WIP bị từ chối với HTTP 403 Forbidden",Not Started
BL-PRJ-002.5,"Task Blocked State",FR-PRJ-002.5,"Đánh dấu trở ngại (Blocked Flag)",Must-have,US-PRJ-002.5,"Là User, tôi muốn đánh dấu Task bị nghẽn (Blocked) kèm lý do để quản lý chú ý",TC-PRJ-002.5.1,"Verify bật cờ Blocked thành công, Task card hiển thị cảnh báo đỏ và giữ nguyên cột",Not Started
BL-PRJ-002.5,"Task Blocked State",FR-PRJ-002.5,"Đánh dấu trở ngại (Blocked Flag)",Must-have,US-PRJ-002.5,"Là User, tôi muốn đánh dấu Task bị nghẽn (Blocked) kèm lý do để quản lý chú ý",TC-PRJ-002.5.2,"Verify không thể kéo Task đang bị Blocked sang cột khác nếu chưa Resolve Block",Not Started
BL-PRJ-002.6,"Lean Metrics",FR-PRJ-002.1,"Định nghĩa Workflow & Meta-Status Mapping",Should-have,US-PRJ-002.6,"Là PM, tôi muốn xem các chỉ số Lead Time và Cycle Time dựa trên Meta-Status",TC-PRJ-002.6.1,"Verify tính toán chính xác Lead Time (OPEN -> DONE) và Cycle Time (IN_PROGRESS -> DONE)",Not Started
BL-PRJ-004.1,"Type Safety Enforcement",FR-PRJ-004.1,"Tạo Trường tùy chỉnh",Must-have,US-PRJ-004.1,"Là PM, tôi muốn tạo Custom Field với các kiểu dữ liệu khác nhau (TEXT, NUMBER, CURRENCY, DATE, DROPDOWN, CHECKBOX)",TC-PRJ-004.1.1,"Verify tạo thành công các trường thuộc đủ 6 kiểu dữ liệu hỗ trợ",Not Started
BL-PRJ-004.2,"Soft Delete Field",FR-PRJ-004.2,"Quản lý giá trị Field",Must-have,US-PRJ-004.2,"Là User, tôi muốn nhập và lưu giá trị Custom Field trên màn hình Task",TC-PRJ-004.2.1,"Verify lưu thành công giá trị Custom Field hợp lệ trên Task Modal",Not Started
BL-PRJ-004.1,"Type Safety Enforcement",FR-PRJ-004.3,"Validation linh hoạt",Should-have,US-PRJ-004.3,"Là User, tôi muốn hệ thống ngăn chặn khi nhập sai định dạng của Custom Field",TC-PRJ-004.3.1,"Verify nhập chữ vào trường CURRENCY/NUMBER trả về lỗi HTTP 422 Unprocessable Entity",Not Started
